date,oikotie,lumo
2025-08-25,24935,1247
2025-08-26,25043,1185
2025-08-27,24980,1180
2025-08-28,25081,1198
2025-08-29,25140,1224
2025-08-30,25325,1316
2025-08-31,25358,1358
2025-09-01,25516,1385
2025-09-02,26083,1342
2025-09-03,26518,1325
2025-09-04,26654,1310
2025-09-05,26681,1310
2025-09-06,26589,1351
2025-09-07,26495,1335
2025-09-08,26509,1266
2025-09-09,26458,1245
2025-09-10,26354,1221
2025-09-11,26156,1211
2025-09-12,26002,1225
2025-09-13,25834,1257
2025-09-14,25751,1241
2025-09-15,25784,1200
2025-09-16,25690,1184
2025-09-17,25476,1166
2025-09-18,25373,1161
2025-09-19,25235,1212
2025-09-20,25130,1189
2025-09-21,25096,1168
2025-09-22,25128,1157
2025-09-23,25050,1137
2025-09-24,25016,1121
2025-09-25,25009,1131
2025-09-26,24987,1129
2025-09-27,25017,1163
2025-09-28,24960,1148
2025-09-29,25115,1172
2025-09-30,25345,1172
2025-10-01,25747,1280
2025-10-02,26254,1344
2025-10-03,26618,1351
2025-10-04,26805,1377
2025-10-05,26804,1394
2025-10-06,26853,1337
2025-10-07,27070,1440
2025-10-08,27029,1409
2025-10-09,26979,1379
2025-10-10,26915,1429
2025-10-11,26862,1474
2025-10-12,26816,1453
2025-10-13,26856,1409
2025-10-14,26893,1439
2025-10-15,26889,1414
2025-10-16,26661,1402
2025-10-17,26612,1390
2025-10-18,26544,1416
2025-10-19,26483,1397
2025-10-20,26501,1364
2025-10-21,26524,1349
2025-10-22,26563,1347
2025-10-23,26464,1353
2025-10-24,26524,1370
2025-10-25,26583,1416
2025-10-26,26604,1387
2025-10-27,26631,1340
2025-10-28,26694,1343
2025-10-29,26893,1385
2025-10-30,27044,1420
2025-10-31,27189,1445
2025-11-01,27467,1624
2025-11-02,27486,1685
2025-11-03,27617,1646
2025-11-04,28038,1627
2025-11-05,28169,1611
2025-11-06,28352,1589
2025-11-07,28291,1558
2025-11-08,28220,1621
2025-11-09,28154,1612
2025-11-10,28162,1551
2025-11-11,28108,1540
2025-11-12,27901,1529
2025-11-13,27941,1510
2025-11-14,27814,1512
2025-11-15,27710,1568
2025-11-16,27637,1550
2025-11-17,27684,1499
2025-11-18,27916,1488
2025-11-19,27877,1486
2025-11-20,27861,1476
2025-11-21,27753,1466
2025-11-22,27647,1502
2025-11-23,27602,1479
2025-11-24,27640,1449
2025-11-25,27730,1442
2025-11-26,27798,1446
2025-11-27,27991,1451
2025-11-28,28141,1528
2025-11-29,28281,1637
2025-11-30,28333,1696
2025-12-01,28507,1688
2025-12-02,29023,1700
2025-12-03,29416,1675
2025-12-04,29582,1673
2025-12-05,29690,1678
2025-12-06,29617,1703
2025-12-07,29545,1689
2025-12-08,29632,1635
2025-12-09,29660,1628
2025-12-10,29630,1606
2025-12-11,29603,1601
2025-12-12,29610,1597
2025-12-13,29451,1612
2025-12-14,29369,1597
2025-12-15,29370,1534
2025-12-16,29337,1545
2025-12-17,29279,1563
2025-12-18,29064,1576
2025-12-19,28927,1588
2025-12-20,28838,1608
2025-12-21,28759,1589
2025-12-22,28772,1536
2025-12-23,28816,1588
2025-12-24,28782,1663
2025-12-25,28728,1660
2025-12-26,28735,1653
2025-12-27,28780,1640
2025-12-28,28847,1704
2025-12-29,28849,1646
2025-12-30,29076,1656
2025-12-31,29215,1678
2026-01-01,29414,1780
2026-01-02,29437,1750
2026-01-03,29874,1785
2026-01-04,29819,1766
2026-01-05,29839,1683
2026-01-06,30060,1732
2026-01-07,30005,1654
2026-01-08,30062,1625
2026-01-09,30085,1615
2026-01-10,30020,1663
2026-01-11,29968,1644
2026-01-12,29933,1562
2026-01-13,29905,1556
2026-01-14,29807,1562
2026-01-15,29660,1535
2026-01-16,29507,1512
2026-01-17,29492,1565
2026-01-18,29417,1556
2026-01-19,29472,1496
2026-01-20,29389,1476
2026-01-21,29351,1468
2026-01-22,29227,1464
2026-01-23,29092,1480
2026-01-24,29037,1535
2026-01-25,28986,1509
2026-01-26,29004,1431
2026-01-27,29114,1495
2026-01-28,29358,1503
2026-01-29,29324,1486
2026-01-30,29411,1527
2026-01-31,29574,1596
2026-02-01,29650,1709
2026-02-02,29760,1711
2026-02-03,30155,1660
